rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/all_actual_path_length_mean,reward/distance,rollout/n_episodes,reward/collision,rollout/workspace_violation_rate,rollout/max_steps_rate,reward/smooth_action,rollout/action_norm_mean,train/learning_rate,reward/z_guard,rollout/distance_improvement_mean,rollout/all_expected_path_length_mean,train/actor_loss,reward/shake,reward/time,train/ent_coef_loss,reward/episode,reward/path_curvature,train/ent_coef,rollout/collision_rate,reward/success,rollout/reward_steps,train/critic_loss,reward/workspace,train/n_updates,reward/total,rollout/success_path_efficiency_percent_mean,rollout/success_actual_path_length_mean,rollout/success_expected_path_length_mean
0.94,1439,20495,15.92,-2.2457810300000003,250550,29511888,0.6529275445234781,-0.1758969100002547,8875,-0.14203211235053184,0.015887323943661973,0.34118309859154927,-0.030992934342413472,0.5497916091823538,0.0003,-0.004186535169687004,0.11380818248844482,0.18975157477937535,-10.881942749023438,-0.002591075601536262,0.0,0.9942508339881897,-0.14373991330063843,-0.0006198586575693273,0.06261996924877167,0.056,0.09880577274672268,11593857,58.32684326171875,-0.04013332232750499,1053638,-0.44138688900336964,92.94740915989499,0.24767887444232825,0.19131700100921084
0.92,1439,20495,18.35,-6.544859239999999,250600,29512868,,,,,,,,,0.0003,,,,-9.287745475769043,,,1.4848328828811646,,,0.06328701227903366,,,,1.6523537635803223,,1053673,,,,
0.95,1439,20496,18.02,3.217017179999999,250650,29514016,0.6526544761875721,-0.17589635019023278,8880,-0.14230742958628384,0.01587837837837838,0.340990990990991,-0.030991675490145375,0.54983529137,0.0003,-0.004186261113159923,0.11382003469573049,0.1897528906658015,-10.024053573608398,-0.002590905986054252,0.0,-0.616584062576294,-0.14373050388214667,-0.0006198334805215176,0.06406033039093018,0.056081081081081084,0.09887520207655001,11594616,11.716129302978516,-0.04013069514333204,1053714,-0.4415784527952828,92.95302780545373,0.24764690968018943,0.19132718479261873
0.94,1439,20496,21.05,-0.14081183000000017,250700,29515052,,,,,,,,,0.0003,,,,-9.217460632324219,,,-0.41914308071136475,,,0.06383784860372543,,,,1.5703767538070679,,1053751,,,,
0.88,1439,20497,26.72,-15.369920540000003,250750,29515864,,,,,,,,,0.0003,,,,-11.392749786376953,,,-0.29912084341049194,,,0.06366490572690964,,,,2.0004491806030273,,1053780,,,,
0.87,1440,20497,27.22,-16.546806060000005,250800,29517152,0.6524015228690928,-0.17589530688203425,8885,-0.1422955497541133,0.01586944288126055,0.3407990996060777,-0.030990580749743372,0.5498857519451411,0.0003,-0.00418591164384837,0.11384521761513958,0.18975308286869919,-9.25772476196289,-0.002590689697077819,0.0,0.04345706105232239,-0.14371850525165442,-0.0006198115857093347,0.0637652724981308,0.056049521665728755,0.098961811668994,11595584,241.21554565429688,-0.04012734503065995,1053826,-0.4414618889258032,92.95447771504459,0.24760427794347958,0.19132600354541904
0.95,1440,20498,24.21,4.699616310000001,250850,29518216,,,,,,,,,0.0003,,,,-11.079612731933594,,,-0.7931274771690369,,,0.06387419998645782,,,,1.5510249137878418,,1053864,,,,
0.97,1440,20498,18.43,7.240018880000001,250900,29519392,0.6521425102320668,-0.1758966568778403,8890,-0.1425679687811245,0.015860517435320586,0.340607424071991,-0.030988988084302897,0.5499298112443292,0.0003,-0.0041855542923989325,0.11386723604568681,0.18977510679473408,-9.264103889465332,-0.0025904827581318766,0.0,-0.47935807704925537,-0.14370623599694185,-0.000619779732398309,0.06324287503957748,0.05613048368953881,0.09902924777611043,11596574,4.199130058288574,-0.04012391935756198,1053906,-0.4416503381045467,92.95765484059308,0.24759634535153077,0.19135533471772614
0.96,1440,20499,16.88,4.25964529,250950,29520456,,,,,,,,,0.0003,,,,-11.426830291748047,,,-0.019951865077018738,,,0.06326672434806824,,,,1.9887778759002686,,1053944,,,,
0.95,1440,20499,22.88,4.681976530000001,251000,29521548,0.6518754713666317,-0.17589638858716072,8895,-0.14255742133258467,0.01585160202360877,0.340415964024733,-0.03098779241615917,0.549973105506874,0.0003,-0.00418524463715949,0.11388140999078081,0.18976623307842344,-10.889314651489258,-0.0025902911093076816,0.0,-1.1598483324050903,-0.14369560433723605,-0.0006197558190300755,0.06369688361883163,0.05609893198426082,0.09911676998839053,11597432,3.4485394954681396,-0.04012095091396095,1053983,-0.4415366791641648,93.01842627718266,0.2475288917675166,0.19133872234998212
